,동,workppl,dem,bikelength,sum_road_dem,sum_ppl_dem,sum_ppl_road,sum_3,index,지하철역개수,버스정거장개수,접근성,교통편,총거치대수,교통지수,tr_index,sum_index,interg
125,반포2동,-1.1096383521002435,0.7948891665307463,0.3524502153119623,1.147339381842709,-0.3147491855694973,-0.7571881367882812,0.03770102974246503,125,0.3689036834571611,-0.6197422992111223,-0.8296816377166308,-0.5080066487435575,-0.149815759530194,-0.6578224082737515,1,1,1.0
128,반포본동,-0.5207406513093908,0.760436448339125,0.17511198571106162,0.9355484340501868,0.2396957970297342,-0.3456286655983292,0.4148077827407958,128,0.3689036834571611,-1.5424386343295629,-1.4450770981057262,-1.3727980072011883,-0.43316295690251755,-1.8059609641037058,1,1,1.0
135,방이1동,-0.13825201588872266,0.4556538248075678,0.7920279799034301,1.247681804710998,0.3174018089188452,0.6537759640147075,1.1094297888222753,135,0.3689036834571611,-1.0151835856904539,0.20094876979724843,-0.8786315166539707,-0.36569933848053576,-1.2443308551345065,1,1,1.0
136,방이2동,0.7376525757978151,0.587965036070756,0.32230774002569024,0.9102727760964462,1.3256176118685712,1.0599603158235054,1.6479253518942614,136,0.3689036834571611,-0.8833698235306767,-0.42337541936981327,-0.7550898940171663,-0.20378665426777945,-0.9588765482849457,1,1,1.0
138,방학2동,0.4805539372312792,0.03755283024586712,-0.4601406809471224,-0.4225878507012553,0.5181067674771462,0.020413256284156744,0.05796608653002382,138,-0.8824176108295296,-0.22430101273179065,0.27808534915379657,-0.38446502610675315,-0.635553812168463,-1.0200188382752162,1,1,1.0
142,방화3동,-0.3417123803250473,0.7652112696627248,0.16556686853707547,0.9307781381998004,0.4234988893376775,-0.17614551178797186,0.5890657578747529,142,0.3689036834571611,-0.5538354181312337,-1.2800411435210153,-0.4462358374251553,-0.46014840427131026,-0.9063842416964656,1,1,1.0
143,번1동,0.8761011053590407,0.3434049732034111,0.8224216424837544,1.1658266156871655,1.219506078562452,1.6985227478427949,2.041927721046206,143,-0.8824176108295296,0.03932651158776379,0.9793269796678706,-0.1373817808331444,-0.2577575490053649,-0.3951393298385093,1,1,1.0
168,삼전동,1.8035377562230328,0.7110053893712435,1.350166147287568,2.0611715366588115,2.514543145594276,3.1537039035106007,3.864709292881844,168,0.3689036834571611,-0.9492767046105653,-0.7378845973712657,-0.8168607053355685,-0.24426482532096852,-1.061125530656537,1,1,1.0
170,상계10동,-0.4637324332547685,0.3708297829394369,0.3351182920223559,0.7059480749617928,-0.09290265031533168,-0.12861414123241266,0.2422156417070242,170,-0.8824176108295296,-0.22430101273179065,0.11175959991623961,-0.38446502610675315,-0.635553812168463,-1.0200188382752162,1,1,1.0
176,상계8동,0.7311935166093603,0.4087191559690631,0.9866981327939373,1.3954172887630003,1.1399126725784234,1.7178916494032976,2.1266108053723607,176,-0.8824176108295296,-0.8174629424507881,-0.4486678705300995,-0.9404023279723729,-0.7030174305904447,-1.6434197585628176,1,1,1.0
182,상봉1동,1.6377084322759659,0.2414508796759328,-0.6555643957197864,-0.4141135160438536,1.8791593119518992,0.9821440365561795,1.2235949162321127,182,1.6202249777438518,-0.8174629424507881,-0.09285084863430998,-0.4462358374251553,-0.09584486479260856,-0.5420807022177638,1,1,1.0
189,서빙고동,-0.5507893179687238,0.7027052089918437,2.417460959715652,3.120166168707496,0.15191589102311998,1.866671641746928,2.569376850738772,189,0.3689036834571611,-0.3561147748915679,-1.3025258081969,-0.26092340346994874,-0.43316295690251755,-0.6940863603724663,1,1,1.0
