동,생산인구,경사도,자전거도로길이,총거치대수,총대여수,비율
신내2동,15414.0,-42.1001,3730.0,85.0,59235.0,69688.24
신당5동,14050.0,-40.1969,0.0,35.0,38730.0,110657.14
신당동,6512.0,-23.068,0.0,46.0,34449.0,74889.13
신대방1동,9807.0,-22.4217,2842.0,40.0,23351.0,58377.5
신대방2동,19505.0,-28.5638,715.0,20.0,27165.0,135825.0
신도림동,31530.0,-9.3841,8003.0,85.0,113551.0,133589.41
신림동,10507.0,-24.3306,2368.0,65.0,131003.0,201543.08
신사1동,31367.0,-28.3552,2962.0,35.0,10448.0,29851.43
신사2동,21055.0,-39.4853,1820.0,10.0,82.0,820.0
신사동,38635.0,-15.2641,5404.0,129.0,157322.0,121955.04
신수동,15039.0,-15.2285,986.0,90.0,85986.0,95540.0
신원동,17898.0,-33.2124,1075.0,0.0,0.0,0.0
신월1동,23694.0,-11.064,0.0,40.0,12337.0,30842.5
신월2동,21898.0,-24.2376,1552.0,65.0,19784.0,30436.92
신월3동,18448.0,-20.6407,0.0,10.0,2719.0,27190.0
신월4동,11162.0,-13.1944,376.0,19.0,11963.0,62963.16
신월5동,18676.0,-22.5912,0.0,50.0,42906.0,85812.0
신월6동,6534.0,-29.5578,712.0,20.0,4990.0,24950.0
신월7동,21989.0,-35.8836,0.0,34.0,20450.0,60147.06
신정1동,19492.0,-9.0925,4026.0,20.0,25853.0,129265.0
신정2동,13593.0,-7.835,5416.0,40.0,1020.0,2550.0
신정3동,33246.0,-32.9565,9400.0,162.0,46077.0,28442.59
신정4동,21667.0,-10.8433,2039.0,15.0,28856.0,192373.33
신정6동,16226.0,-8.5779,7276.0,95.0,50162.0,52802.11
신정7동,20458.0,-15.3246,3594.0,55.0,34976.0,63592.73
신촌동,20259.0,-76.4549,0.0,176.0,101670.0,57767.05
쌍문1동,16475.0,-56.2902,0.0,60.0,23147.0,38578.33
쌍문2동,17746.0,-30.0264,2555.0,26.0,13021.0,50080.77
쌍문3동,12780.0,-38.4616,1771.0,10.0,8015.0,80150.0
쌍문4동,16512.0,-41.8865,17.0,35.0,11796.0,33702.86
아현동,10800.0,-29.5315,0.0,21.0,18357.0,87414.29
안암동,8190.0,-43.3385,3404.0,71.0,120343.0,169497.18
암사1동,21959.0,-27.1087,2466.0,15.0,12308.0,82053.33
암사2동,21162.0,-11.5234,9927.0,46.0,45749.0,99454.35
암사3동,15929.0,-33.5697,3784.0,50.0,10176.0,20352.0
압구정동,14463.0,-15.7634,6466.0,34.0,25577.0,75226.47
약수동,13337.0,-89.42,0.0,34.0,9249.0,27202.94
양재1동,35327.0,-53.3229,12990.0,240.0,119698.0,49874.17
양재2동,23053.0,-98.4335,11635.0,135.0,82640.0,61214.81
양평1동,17714.0,-8.8492,2278.0,60.0,53711.0,89518.33
양평2동,16707.0,-7.2502,4540.0,60.0,97512.0,162520.0
여의동,23521.0,-7.7843,23601.0,608.0,621964.0,102296.71
역삼1동,32980.0,-37.8068,1807.0,158.0,77882.0,49292.41
역삼2동,28777.0,-31.0122,3670.0,86.0,45970.0,53453.49
역촌동,24937.0,-23.2868,2651.0,59.0,105790.0,179305.08
연남동,9576.0,-15.9123,1777.0,25.0,32391.0,129564.0
연희동,18365.0,-74.0317,0.0,144.0,118304.0,82155.56
염리동,12256.0,-44.7824,0.0,0.0,0.0,0.0
염창동,23160.0,-9.7432,6686.0,53.0,62563.0,118043.4
영등포동,15586.0,-10.5894,0.0,156.0,163448.0,104774.36
영등포본동,19930.0,-16.4519,0.0,60.0,62297.0,103828.33
오금동,25619.0,-26.8207,8006.0,131.0,77675.0,59293.89
오류1동,19722.0,-29.3015,1699.0,10.0,10351.0,103510.0
오류2동,34244.0,-36.9812,4333.0,407.0,53261.0,13086.24
오륜동,15405.0,-20.8259,11552.0,145.0,135940.0,93751.72
옥수동,13840.0,-21.0855,8452.0,31.0,46736.0,150761.29
왕십리2동,12816.0,-33.4305,0.0,48.0,14149.0,29477.08
왕십리도선동,14279.0,-21.8933,634.0,76.0,90143.0,118609.21
용강동,20588.0,-11.324000000000002,5139.0,66.0,67587.0,102404.55
용답동,15365.0,-12.0197,13200.0,93.0,46825.0,50349.46
용문동,4856.0,-17.7389,0.0,0.0,0.0,0.0
용산2가동,10876.0,-63.8429,5030.0,72.0,21537.0,29912.5
용신동,25504.0,-16.8627,1164.0,190.0,192194.0,101154.74
우이동,23229.0,-209.4446,390.0,62.0,24288.0,39174.19
우장산동,19685.0,-29.4457,2000.0,42.0,89819.0,213854.76
원효로1동,10582.0,-14.9804,1629.0,36.0,11483.0,31897.22
원효로2동,13540.0,-18.8211,3742.0,60.0,30888.0,51480.0
월계1동,17449.0,-29.9065,0.0,79.0,61101.0,77343.04
월계2동,21741.0,-39.4355,2938.0,60.0,12632.0,21053.33
월계3동,25452.0,-17.2632,7039.0,20.0,14566.0,72830.0
월곡1동,20448.0,-54.8635,0.0,49.0,25635.0,52316.33
월곡2동,12088.0,-50.5533,1272.0,85.0,68214.0,80251.76
위례동,15566.0,-37.9739,0.0,129.0,52414.0,40631.01
은천동,24340.0,-57.0405,2695.0,86.0,39437.0,45856.98
