,HDong_name,workppl,dem,bikelength
403,홍은1동,13413.0,-100.2633,715.0
404,홍은2동,22649.0,-72.6058,6162.0
405,홍제1동,22805.0,-73.9965,0.0
406,홍제2동,1130.0,-179.0758,0.0
407,홍제3동,10025.0,-130.1401,0.0
408,화곡1동,30157.0,-23.0389,195.0
409,화곡2동,16286.0,-15.6255,0.0
410,화곡3동,14841.0,-21.9086,2698.0
411,화곡4동,11439.0,-33.6423,0.0
412,화곡6동,14352.0,-23.6753,3719.0
413,화곡8동,17695.0,-33.9773,0.0
414,화곡본동,26583.0,-51.432,0.0
415,화양동,18504.0,-20.9748,3411.0
416,황학동,9638.0,-21.5027,748.0
417,회기동,15231.0,-37.1353,0.0
418,회현동,5156.0,-64.0186,0.0
419,효창동,9982.0,-39.3094,0.0
420,후암동,10701.0,-110.1838,0.0
421,휘경1동,12058.0,-15.792,1889.0
422,휘경2동,17543.0,-18.4596,3782.0
423,흑석동,19199.0,-32.6523,2129.0
