주소,OBJECTID,adm_nm,adm_cd,adm_cd2,sidonm,sggnm,기간,자치구,동,인구,면적,인구밀도
서울특별시 강북구 우이동,141,서울특별시 강북구 우이동,1109074,1130564500,서울특별시,강북구,2019,강북구,우이동,"21,391",10.28,"2,081"
서울특별시 강북구 인수동,142,서울특별시 강북구 인수동,1109075,1130566000,서울특별시,강북구,2019,강북구,인수동,"32,461",3.28,"9,897"
서울특별시 도봉구 쌍문1동,143,서울특별시 도봉구 쌍문1동,1110051,1132066000,서울특별시,도봉구,2019,도봉구,쌍문1동,"22,364",1.24,"18,035"
서울특별시 도봉구 쌍문2동,144,서울특별시 도봉구 쌍문2동,1110052,1132067000,서울특별시,도봉구,2019,도봉구,쌍문2동,"20,025",0.54,"37,083"
서울특별시 도봉구 쌍문3동,145,서울특별시 도봉구 쌍문3동,1110053,1132068000,서울특별시,도봉구,2019,도봉구,쌍문3동,"17,262",0.5,"34,524"
서울특별시 도봉구 쌍문4동,146,서울특별시 도봉구 쌍문4동,1110054,1132068100,서울특별시,도봉구,2019,도봉구,쌍문4동,"19,811",0.52,"38,098"
서울특별시 도봉구 방학1동,147,서울특별시 도봉구 방학1동,1110055,1132069000,서울특별시,도봉구,2019,도봉구,방학1동,"30,056",0.69,"43,559"
서울특별시 도봉구 방학2동,148,서울특별시 도봉구 방학2동,1110056,1132070000,서울특별시,도봉구,2019,도봉구,방학2동,"21,140",0.74,"28,568"
서울특별시 도봉구 방학3동,149,서울특별시 도봉구 방학3동,1110057,1132071000,서울특별시,도봉구,2019,도봉구,방학3동,"28,782",2.64,"10,902"
서울특별시 도봉구 창1동,150,서울특별시 도봉구 창1동,1110059,1132051100,서울특별시,도봉구,2019,도봉구,창1동,"26,271",0.88,"29,853"
서울특별시 도봉구 창2동,151,서울특별시 도봉구 창2동,1110060,1132051200,서울특별시,도봉구,2019,도봉구,창2동,"30,498",1.07,"28,503"
서울특별시 도봉구 창3동,152,서울특별시 도봉구 창3동,1110061,1132051300,서울특별시,도봉구,2019,도봉구,창3동,"14,777",0.67,"22,055"
서울특별시 도봉구 창4동,153,서울특별시 도봉구 창4동,1110062,1132051400,서울특별시,도봉구,2019,도봉구,창4동,"27,873",0.96,"29,034"
서울특별시 도봉구 창5동,154,서울특별시 도봉구 창5동,1110063,1132051500,서울특별시,도봉구,2019,도봉구,창5동,"25,802",0.7,"36,860"
서울특별시 도봉구 도봉1동,155,서울특별시 도봉구 도봉1동,1110064,1132052100,서울특별시,도봉구,2019,도봉구,도봉1동,"22,293",8.72,"2,557"
서울특별시 도봉구 도봉2동,156,서울특별시 도봉구 도봉2동,1110065,1132052200,서울특별시,도봉구,2019,도봉구,도봉2동,"28,677",0.83,"34,551"
서울특별시 노원구 월계1동,157,서울특별시 노원구 월계1동,1111051,1135056000,서울특별시,노원구,2019,노원구,월계1동,"23,883",1.16,"20,589"
서울특별시 노원구 월계2동,158,서울특별시 노원구 월계2동,1111052,1135057000,서울특별시,노원구,2019,노원구,월계2동,"27,289",1.94,"14,066"
서울특별시 노원구 월계3동,159,서울특별시 노원구 월계3동,1111053,1135058000,서울특별시,노원구,2019,노원구,월계3동,"31,593",1.17,"27,003"
서울특별시 노원구 공릉2동,160,서울특별시 노원구 공릉2동,1111056,1135060000,서울특별시,노원구,2019,노원구,공릉2동,"41,071",6.82,"6,022"
서울특별시 노원구 하계1동,161,서울특별시 노원구 하계1동,1111058,1135061100,서울특별시,노원구,2019,노원구,하계1동,"29,305",1.55,"18,906"
서울특별시 노원구 하계2동,162,서울특별시 노원구 하계2동,1111059,1135061200,서울특별시,노원구,2019,노원구,하계2동,"23,318",0.51,"45,722"
서울특별시 노원구 중계본동,163,서울특별시 노원구 중계본동,1111060,1135061900,서울특별시,노원구,2019,노원구,중계본동,"25,875",1.97,"13,135"
서울특별시 노원구 중계1동,164,서울특별시 노원구 중계1동,1111061,1135062100,서울특별시,노원구,2019,노원구,중계1동,"28,061",0.63,"44,541"
서울특별시 노원구 중계4동,165,서울특별시 노원구 중계4동,1111064,1135062400,서울특별시,노원구,2019,노원구,중계4동,"21,324",1.7,"12,544"
서울특별시 노원구 상계1동,166,서울특별시 노원구 상계1동,1111065,1135063000,서울특별시,노원구,2019,노원구,상계1동,"40,121",5.62,"7,139"
서울특별시 노원구 상계2동,167,서울특별시 노원구 상계2동,1111066,1135064000,서울특별시,노원구,2019,노원구,상계2동,"21,220",0.61,"34,787"
서울특별시 노원구 상계5동,168,서울특별시 노원구 상계5동,1111069,1135067000,서울특별시,노원구,2019,노원구,상계5동,"25,483",0.44,"57,916"
서울특별시 노원구 상계8동,169,서울특별시 노원구 상계8동,1111072,1135070000,서울특별시,노원구,2019,노원구,상계8동,"23,953",0.67,"35,751"
서울특별시 노원구 상계9동,170,서울특별시 노원구 상계9동,1111073,1135071000,서울특별시,노원구,2019,노원구,상계9동,"21,919",0.81,"27,060"
서울특별시 노원구 상계10동,171,서울특별시 노원구 상계10동,1111074,1135072000,서울특별시,노원구,2019,노원구,상계10동,"16,619",0.8,"20,774"
서울특별시 노원구 상계3·4동,172,서울특별시 노원구 상계3·4동,1111076,1135066500,서울특별시,노원구,2019,노원구,상계3·4동,"25,818",5.62,"4,594"
서울특별시 노원구 상계6·7동,173,서울특별시 노원구 상계6·7동,1111077,1135069500,서울특별시,노원구,2019,노원구,상계6·7동,"34,648",1.11,"31,214"
